,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Divnomorskoye,RU,1563417292,44.5,38.13,71.87,63,62,16.17
1,Atuona,PF,1563417035,-9.8,-139.03,80.33,69,0,11.27
2,Bone,DE,1563417293,51.97,12.14,53.94,87,0,5.82
3,Punta Arenas,CL,1563417293,-53.16,-70.91,28.18,100,0,8.05
4,Albany,US,1563417043,42.65,-73.75,70.36,88,75,4.7
5,Ilulissat,GL,1563417294,69.22,-51.1,46.4,81,100,9.06
6,Yichang,CN,1563417294,30.77,111.32,72.59,98,100,2.82
7,Katsuura,JP,1563417042,33.93,134.5,80.69,94,75,16.11
8,Erenhot,CN,1563417295,43.65,111.97,83.39,35,8,10.0
9,Carolina,PR,1563417169,18.38,-65.96,77.85,74,20,6.93
10,Castro,CL,1563417295,-42.48,-73.76,42.8,87,40,11.41
11,Dikson,RU,1563417296,73.51,80.55,46.85,64,73,7.81
12,Kaputa,ZM,1563417296,-8.47,29.66,58.19,64,0,5.53
13,Qaanaaq,GL,1563417297,77.48,-69.36,42.53,55,0,4.5
14,Jamestown,AU,1563417297,-33.21,138.6,53.51,70,58,13.02
15,Flinders,AU,1563417297,-34.58,150.85,63.32,36,0,16.11
16,Hobart,AU,1563417297,-42.88,147.33,51.78,53,75,14.99
17,Kombissiri,BF,1563417298,12.07,-1.34,78.8,88,0,4.7
18,Hithadhoo,MV,1563417298,-0.6,73.08,83.39,70,99,14.12
19,Cherskiy,RU,1563417298,68.75,161.3,45.77,50,94,8.9
20,East London,ZA,1563417060,-33.02,27.91,57.29,28,67,4.7
21,Plettenberg Bay,ZA,1563417299,-34.05,23.37,57.47,42,57,4.43
22,Busselton,AU,1563417299,-33.64,115.35,60.28,60,100,8.12
23,Jaisinghnagar,IN,1563417299,23.63,78.57,86.09,53,0,13.69
24,Mareeba,AU,1563417056,-16.99,145.42,73.2,44,20,16.11
25,Cape Town,ZA,1563417011,-33.93,18.42,57.36,87,75,17.22
26,Vaini,IN,1563417300,15.34,74.49,73.4,88,40,3.36
27,Bethlehem,US,1563417301,40.62,-75.38,72.75,88,90,3.36
28,Nikel,NO,1563417301,69.41,30.21,44.6,87,40,6.93
29,Puerto Ayora,EC,1563417301,-0.74,-90.35,70.0,92,28,7.0
30,Chuy,UY,1563417078,-33.69,-53.46,54.41,87,81,12.97
31,Rikitea,PF,1563417302,-23.12,-134.97,70.79,72,25,25.23
32,Ribeira Grande,PT,1563417029,38.52,-28.7,71.69,87,5,15.01
33,Daoukro,CI,1563417302,7.06,-3.97,69.53,99,42,3.36
34,Carutapera,BR,1563417303,-1.2,-46.02,75.11,90,12,3.38
35,Urengoy,RU,1563417303,65.96,78.37,80.69,43,1,10.09
36,Meulaboh,ID,1563417303,4.14,96.13,81.95,79,67,9.19
37,Ambilobe,MG,1563417304,-13.19,49.05,65.21,66,78,7.61
38,Turukhansk,RU,1563417304,65.8,87.96,74.57,54,0,15.12
39,Hermanus,ZA,1563417032,-34.42,19.24,60.4,71,100,4.0
40,Mentougou,CN,1563417304,39.94,116.09,87.24,78,90,2.24
41,Butaritari,KI,1563417305,3.07,172.79,83.93,66,100,5.88
42,Mataura,NZ,1563417305,-46.19,168.86,51.01,74,100,3.0
43,Tiksi,RU,1563417305,71.64,128.87,38.93,85,100,12.26
44,Namatanai,PG,1563417073,-3.66,152.44,81.05,78,78,10.63
45,Namie,JP,1563417306,37.52,140.86,78.28,69,75,9.17
46,Vargem Grande,BR,1563417306,-23.71,-46.2,52.5,100,40,2.04
47,Port Alfred,ZA,1563417306,-33.59,26.89,57.0,70,46,4.0
48,Isangel,VU,1563417307,-19.55,169.27,73.4,73,75,9.17
49,Winslow,GB,1563417307,51.94,-0.88,59.79,82,62,6.93
50,Upernavik,GL,1563417307,72.79,-56.15,45.23,86,100,10.96
51,Khasan,RU,1563417308,42.43,130.64,79.25,70,90,4.63
52,Khatanga,RU,1563417308,71.98,102.47,64.13,42,0,5.53
53,Port Elizabeth,US,1563417309,39.31,-74.98,74.95,78,20,5.82
54,Coquimbo,CL,1563417104,-29.95,-71.34,50.0,93,0,4.7
55,Hilo,US,1563417309,19.71,-155.08,78.73,58,90,9.17
56,Dovbysh,UA,1563417309,50.37,27.99,48.83,97,0,7.61
57,Mahebourg,MU,1563417310,-20.41,57.7,70.09,64,40,11.41
58,Yellowknife,CA,1563417300,62.45,-114.38,77.0,47,75,10.29
59,Diu,IN,1563417310,20.71,70.98,83.57,70,85,10.92
60,Plouzane,FR,1563417311,48.38,-4.62,62.29,93,90,13.87
61,Carnarvon,ZA,1563417311,-30.97,22.13,44.69,27,58,5.95
62,Bethel,US,1563417063,60.79,-161.76,61.38,63,90,13.87
63,Faya,SA,1563417312,18.39,42.45,68.05,48,0,2.55
64,Bubaque,GW,1563417312,11.28,-15.83,77.45,89,100,12.08
65,Santa Cruz,BR,1563417111,-6.22,-36.02,67.55,88,3,8.52
66,Athabasca,CA,1563417018,54.72,-113.29,61.97,83,100,4.14
67,Yumen,CN,1563417313,40.29,97.04,74.39,41,82,19.73
68,Bluff,AU,1563417313,-23.58,149.07,67.19,29,0,2.77
69,Pevek,RU,1563417058,69.7,170.27,32.27,94,34,7.94
70,Mar del Plata,AR,1563417313,-46.43,-67.52,36.59,78,43,20.76
71,Sitka,US,1563417314,37.17,-99.65,88.0,46,0,13.0
72,Prince Rupert,CA,1563417314,54.32,-130.32,55.4,93,90,4.7
73,Inhambane,MZ,1563417314,-23.87,35.38,57.11,84,0,5.66
74,Lebu,ET,1563417315,8.96,38.73,57.2,87,75,4.7
75,Ponta do Sol,BR,1563417154,-20.63,-46.0,52.43,77,67,5.61
76,Georgetown,GY,1563417315,6.8,-58.16,75.2,100,40,4.7
77,Ushuaia,AR,1563417315,-54.81,-68.31,41.0,52,40,14.99
78,Thompson,CA,1563417316,55.74,-97.86,71.6,53,90,2.24
79,Palmerston,AU,1563417316,-12.49,130.99,80.89,21,0,13.87
80,Provideniya,RU,1563417316,64.42,-173.23,59.0,77,75,15.66
81,Dong Hoi,VN,1563417317,17.48,106.6,90.77,56,90,5.28
82,Sebring,US,1563417040,27.5,-81.44,73.85,83,1,14.99
83,Hambantota,LK,1563417317,6.12,81.12,78.8,94,40,9.17
84,Nikolskoye,RU,1563417057,59.7,30.79,61.38,88,90,4.47
85,Kapaa,US,1563417318,22.08,-159.32,83.28,70,90,16.11
86,Chumikan,RU,1563417318,54.72,135.31,74.21,54,100,6.06
87,Gigmoto,PH,1563417318,13.78,124.39,85.73,72,73,25.64
88,Cabedelo,BR,1563417319,-6.97,-34.84,71.6,94,0,4.7
89,Shimoda,JP,1563417319,34.7,138.93,79.63,83,75,4.7
90,Pisco,PE,1563417319,-13.71,-76.2,61.47,87,0,14.99
91,Maryville,US,1563417215,35.76,-83.97,75.36,88,1,5.82
92,Tual,ID,1563417320,-5.67,132.75,77.09,87,94,21.56
93,Kedrovyy,RU,1563417320,56.17,91.82,71.6,68,0,8.95
94,Amapa,HN,1563417320,15.09,-87.97,82.4,83,75,8.05
95,Lucapa,AO,1563417321,-8.42,20.74,60.35,32,0,5.19
96,Srednekolymsk,RU,1563417321,67.46,153.71,55.31,44,100,15.77
97,Kinston,US,1563417321,35.26,-77.58,81.41,74,1,10.29
98,Los Corrales de Buelna,ES,1563417322,43.26,-4.07,64.74,88,75,5.82
99,Laguna,BZ,1563417322,16.17,-88.94,82.4,78,40,6.93
100,Bredasdorp,ZA,1563417323,-34.53,20.04,63.86,67,61,5.82
101,Longyearbyen,NO,1563417323,78.22,15.63,44.6,70,75,4.7
102,Salalah,OM,1563417323,17.01,54.1,77.0,100,90,4.7
103,Chifeng,CN,1563417324,42.27,118.96,82.85,39,0,2.39
104,Igrim,RU,1563417324,63.19,64.42,63.05,90,83,3.0
105,Kavieng,PG,1563417324,-2.57,150.8,83.39,76,20,13.24
106,Yagodnoye,RU,1563417325,62.52,149.63,67.55,48,100,14.74
107,Miri,NG,1563417325,10.31,9.75,72.95,87,100,1.63
108,Te Anau,NZ,1563417081,-45.41,167.72,41.81,89,100,1.99
109,Wexford,US,1563417326,40.63,-80.06,73.22,100,90,2.64
110,Nemuro,JP,1563417326,43.32,145.57,69.8,94,75,12.75
111,Tuktoyaktuk,CA,1563417326,69.44,-133.03,55.4,87,75,10.29
112,Bensonville,LR,1563417327,6.45,-10.61,75.2,94,75,10.16
113,Barrow,AR,1563417031,-38.31,-60.23,54.77,75,89,17.54
114,Mahon,IE,1563417327,51.89,-8.4,55.94,87,75,6.93
115,Marzuq,YE,1563417327,14.4,46.47,73.13,57,0,5.64
116,Luderitz,NA,1563417328,-26.65,15.16,50.0,53,0,1.12
117,Kathmandu,NP,1563417328,27.71,85.32,76.55,71,0,3.2
118,Tuatapere,NZ,1563417328,-46.13,167.69,51.01,74,100,3.0
119,Jaen,PE,1563417329,-5.71,-78.81,56.75,86,30,2.28
120,Sun City West,US,1563417043,33.66,-112.34,98.96,24,1,11.41
121,Fonte Boa,BR,1563417329,-2.51,-66.09,78.35,81,73,2.91
122,Amahai,ID,1563417330,-3.31,129.0,77.45,89,100,13.0
123,Faanui,PF,1563417330,-16.48,-151.75,76.73,75,0,18.9
124,Kargasok,RU,1563417330,59.06,80.87,74.57,58,36,4.7
125,Sao Joao da Barra,BR,1563417330,-21.64,-41.05,58.91,87,23,3.76
126,Huarmey,PE,1563417331,-10.07,-78.15,61.97,89,96,17.65
127,Loviisa,FI,1563417331,60.46,26.23,51.57,93,0,6.93
128,Aksay,KZ,1563417331,51.17,53.01,69.17,73,20,6.42
129,Pajapan,MX,1563417332,18.26,-94.69,73.31,91,90,0.2
130,Douentza,ML,1563417332,15.01,-2.95,88.43,40,0,9.42
131,Tasiilaq,GL,1563417057,65.61,-37.64,46.4,87,0,3.36
132,Marsa Matruh,EG,1563417333,31.35,27.25,71.6,43,0,6.93
133,Maniitsoq,GL,1563417333,65.42,-52.9,43.25,97,100,11.61
134,Kruisfontein,ZA,1563417333,-34.0,24.73,53.51,38,19,6.17
135,Aklavik,CA,1563417334,68.22,-135.01,69.8,68,75,5.82
136,Trelew,AR,1563417241,-43.25,-65.31,45.05,47,0,33.89
137,Valparaiso,US,1563417047,41.47,-87.06,78.71,69,1,3.36
138,Arraial do Cabo,BR,1563417334,-22.97,-42.02,65.75,77,99,9.98
139,Whitecourt,CA,1563417335,54.14,-115.68,59.0,82,75,2.24
140,Shache,CN,1563417335,38.42,77.24,83.93,24,13,8.77
141,Narsaq,GL,1563417335,60.91,-46.05,50.0,71,100,4.7
142,Kodinsk,RU,1563417336,58.6,99.18,69.71,85,100,1.19
143,Gannan,CN,1563417336,47.92,123.49,81.23,58,74,1.14
144,Sur,OM,1563417249,22.57,59.53,85.73,52,94,9.53
145,College,US,1563417336,64.86,-147.8,73.11,72,75,9.17
146,Pangnirtung,CA,1563417337,66.15,-65.72,46.85,66,7,2.71
147,Kameoka,JP,1563417337,35.01,135.51,82.56,74,75,2.24
148,Atherton,AU,1563417337,-17.27,145.48,73.4,44,20,16.11
149,Severobaykalsk,RU,1563417338,55.65,109.32,72.41,45,58,5.88
150,Lakes Entrance,AU,1563417338,-37.88,147.99,57.9,50,89,3.0
151,Saskylakh,RU,1563417338,71.97,114.09,50.99,56,4,11.01
152,Saldanha,PT,1563417052,41.42,-6.55,64.31,74,8,3.6
153,Lubao,CD,1563417339,-5.39,25.75,68.09,38,0,5.88
154,Esperance,AU,1563417339,-33.86,121.89,55.4,100,89,5.82
155,Torbay,CA,1563417087,47.66,-52.73,59.56,82,75,10.29
156,Rondonopolis,BR,1563417112,-16.46,-54.64,72.41,53,67,0.63
157,Saint-Philippe,CA,1563417120,45.36,-73.48,70.86,53,20,5.82
158,Komsomolskiy,RU,1563417340,67.55,63.78,60.53,94,100,14.0
159,Severouralsk,RU,1563417341,60.15,59.96,52.43,93,94,9.82
160,New Norfolk,AU,1563417341,-42.78,147.06,51.78,53,75,14.99
161,Nalut,LY,1563417341,31.86,10.98,68.45,46,0,3.11
162,Erdenet,MN,1563417342,49.03,104.04,70.61,69,100,2.84
163,Vila Franca do Campo,PT,1563417342,37.72,-25.43,64.4,82,20,2.24
164,Hobyo,SO,1563417342,5.35,48.53,75.47,68,28,18.37
165,Ancud,CL,1563417343,-41.87,-73.83,42.8,87,40,11.41
166,Mayskiy,RU,1563417343,43.63,44.06,68.0,68,75,4.47
167,Mnogovershinnyy,RU,1563417343,53.94,139.92,68.63,84,100,2.19
168,Killybegs,IE,1563417344,54.63,-8.45,55.0,92,100,4.0
169,Kununurra,AU,1563417344,-15.77,128.74,78.8,16,63,12.75
170,Uyuni,BO,1563417344,-20.46,-66.82,39.29,35,83,5.66
171,Rawson,AR,1563417344,-43.3,-65.11,45.05,47,0,33.89
172,Fort Frances,CA,1563417345,48.61,-93.4,66.09,100,90,3.36
173,Hervey Bay,AU,1563417345,-25.3,152.85,72.05,26,0,13.87
174,Port-Gentil,GA,1563417346,-0.72,8.78,76.91,87,53,16.4
175,Banda Aceh,ID,1563417346,5.56,95.32,83.93,73,82,16.28
176,Victoria,BN,1563417346,5.28,115.24,85.19,79,75,3.36
177,Udachnyy,RU,1563417174,66.42,112.4,53.6,54,0,11.18
178,Hasaki,JP,1563417347,35.73,140.83,79.72,83,75,10.29
179,Porto Belo,BR,1563417347,-27.15,-48.54,54.68,100,20,4.7
180,Chokurdakh,RU,1563417348,70.62,147.9,43.79,60,96,8.84
181,Bafoulabe,ML,1563417348,13.81,-10.83,79.61,78,25,11.43
182,Puerto Baquerizo Moreno,EC,1563417348,-0.9,-89.6,70.97,86,84,14.12
183,Straseni,MD,1563417287,47.14,28.61,60.67,72,0,3.36
184,Byron Bay,AU,1563417349,-28.65,153.62,68.23,31,0,11.41
185,Mayo,CA,1563417349,63.59,-135.9,78.8,24,75,2.24
186,Pacific Grove,US,1563417350,36.62,-121.92,61.54,68,1,11.41
187,Xining,CN,1563417350,36.62,101.77,55.49,78,100,1.19
188,Alta Floresta,BR,1563417350,-9.87,-56.08,73.67,45,0,4.18
189,Cerrito,CO,1563417351,6.84,-72.7,73.4,69,40,8.05
190,Lompoc,US,1563417291,34.64,-120.46,65.95,77,20,9.17
191,Sao Filipe,CV,1563417351,14.9,-24.5,73.49,79,100,5.32
192,Kilimatinde,TZ,1563417352,-5.75,34.82,52.97,88,0,5.17
193,Vila Velha,BR,1563417352,-3.71,-38.6,80.26,78,40,6.93
194,Praia,BR,1563417352,-20.25,-43.81,57.2,67,0,4.7
195,Deputatskiy,RU,1563417353,69.3,139.9,41.09,66,97,13.13
196,Blairmore,CA,1563417353,49.61,-114.44,57.45,55,40,27.51
197,Ulladulla,AU,1563417353,-35.36,150.48,58.53,36,0,16.11
198,Kodiak,US,1563417353,39.95,-94.76,86.86,62,1,11.41
199,Verkhnyaya Inta,RU,1563417354,65.99,60.32,48.65,95,100,14.0
200,Severo-Kurilsk,RU,1563417127,50.68,156.12,44.87,97,99,7.45
201,Skibotn,NO,1563417354,69.39,20.27,46.4,75,75,2.24
202,Cabimas,VE,1563417355,10.39,-71.44,83.39,70,0,14.99
203,Neiba,DO,1563417355,18.49,-71.42,73.13,85,95,3.76
204,Progreso,UY,1563417355,-34.68,-56.22,54.36,81,0,11.41
205,Yokadouma,CM,1563417356,3.52,15.05,69.53,97,100,1.88
206,Ormara,PK,1563417356,25.21,64.64,82.67,71,74,11.14
207,Stalskoye,RU,1563417356,43.19,46.97,69.28,73,33,6.71
208,Awjilah,LY,1563417357,29.14,21.3,69.35,81,0,8.23
209,Huangmei,CN,1563417357,30.1,115.95,90.59,66,79,0.6
210,Avera,US,1563417357,33.19,-82.53,80.6,69,40,1.45
211,Borogontsy,RU,1563417358,62.67,131.17,53.15,85,100,10.89
212,Lebyazhye,RU,1563417358,59.96,29.42,60.78,88,90,4.47
213,Noumea,NC,1563417358,-22.28,166.46,78.8,44,20,9.17
214,Yerbogachen,RU,1563417359,61.28,108.01,67.01,53,2,12.8
215,Aushiger,RU,1563417359,43.39,43.73,68.0,68,75,4.47
216,Cuamba,MZ,1563417360,-14.8,36.54,54.41,95,13,2.46
217,Mitsamiouli,KM,1563417360,-11.38,43.28,77.99,69,5,15.39
218,Labuhan,ID,1563417068,-2.54,115.51,89.51,53,89,1.61
219,Quatre Cocos,MU,1563417360,-20.21,57.76,70.21,64,40,11.41
220,Bathsheba,BB,1563417164,13.22,-59.52,80.6,83,75,16.11
221,Tromso,NO,1563417090,69.65,18.96,46.4,75,75,2.24
222,Khani,GE,1563417361,41.96,42.96,66.2,93,75,2.24
223,Ogembo,KE,1563417361,-0.8,34.73,60.17,76,75,12.86
224,Fort Nelson,CA,1563417362,58.81,-122.69,69.8,52,75,13.87
225,Bandarbeyla,SO,1563417362,9.49,50.81,78.89,56,92,30.27
226,Ayan,IR,1563417362,38.23,44.7,66.2,39,0,2.24
227,Clyde River,CA,1563417363,70.47,-68.59,39.2,100,90,10.29
228,Roald,NO,1563417363,62.58,6.12,51.12,87,92,4.7
229,Stonewall,CA,1563417363,50.13,-97.33,69.69,83,20,9.17
230,Vao,EE,1563417364,59.1,26.19,57.47,86,0,6.58
231,Port Lincoln,AU,1563417364,-34.72,135.86,56.93,81,67,26.82
232,Ulaangom,MN,1563417364,49.98,92.07,73.13,38,0,5.46
233,Ballina,IE,1563417365,54.11,-9.15,56.77,92,100,4.0
234,Catalina Foothills,US,1563417365,32.3,-110.92,93.49,20,1,6.93
235,Arlit,NE,1563417366,18.74,7.39,95.63,18,63,10.13
236,Lagoa,PT,1563417066,37.14,-8.45,66.69,68,0,3.36
237,Zhigansk,RU,1563417366,66.77,123.37,55.49,42,0,31.9
238,Quelimane,MZ,1563417367,-17.88,36.89,60.8,93,0,2.24
239,Burnie,AU,1563417367,-41.05,145.91,55.0,58,100,3.0
240,Grand-Santi,GF,1563417368,4.27,-54.38,71.51,98,75,1.14
241,Mandera,ET,1563417368,3.94,41.86,75.99,83,98,4.0
242,Champerico,MX,1563417368,16.38,-93.6,80.6,69,75,6.4
243,Dalby,AU,1563417369,-27.18,151.26,63.21,39,0,18.34
244,Rundu,NA,1563417369,-17.91,19.77,53.6,46,0,3.36
245,Rio Gallegos,AR,1563417369,-51.62,-69.22,37.4,93,75,2.24
246,Sao Jose da Coroa Grande,BR,1563417370,-8.9,-35.15,68.27,92,0,3.62
247,Tyulyachi,RU,1563417370,55.89,50.23,62.6,88,75,11.18
248,Mildura,AU,1563417371,-34.18,142.16,54.37,76,44,8.05
249,Port Angeles,US,1563417371,48.12,-123.43,59.76,100,90,8.05
250,Olyka,UA,1563417371,50.73,25.81,51.01,99,0,8.46
251,Poya,NC,1563417372,-21.35,165.16,67.73,65,1,9.04
252,Santa Vitoria do Palmar,BR,1563417372,-33.52,-53.37,53.33,90,65,10.89
253,Bosaso,SO,1563417372,11.28,49.18,87.35,62,72,15.55
254,Gorom-Gorom,BF,1563417373,14.45,-0.24,90.59,36,7,13.49
255,Namibe,AO,1563417373,-15.19,12.15,68.99,76,0,7.83
256,Nipawin,CA,1563417167,53.36,-104.02,64.4,88,1,5.82
257,Ostrovnoy,RU,1563417232,68.05,39.51,50.27,74,1,8.46
258,Zhengjiatun,CN,1563417374,43.51,123.51,87.35,48,0,9.26
259,Gulu,UG,1563417374,2.77,32.3,63.95,89,70,2.95
260,Kikwit,CD,1563417374,-5.04,18.82,74.03,51,0,1.34
261,Hofn,IS,1563417375,64.25,-15.21,41.45,97,100,16.24
262,Nador,MA,1563417226,35.17,-2.93,67.93,83,0,5.82
263,Honningsvag,NO,1563417375,70.98,25.97,44.6,81,75,14.99
264,Khilok,RU,1563417375,51.36,110.46,78.35,50,100,2.42
265,Vanavara,RU,1563417200,60.35,102.28,76.01,54,0,11.95
266,Saint-Leu,RE,1563417376,-21.15,55.28,63.7,72,0,13.87
267,Rorvik,NO,1563417376,64.86,11.24,46.0,97,64,12.97
268,Vestmannaeyjar,IS,1563417376,63.44,-20.27,51.71,92,44,15.05
269,Bud,NO,1563417377,62.91,6.91,52.14,87,93,5.82
270,Maragogi,BR,1563417377,-9.01,-35.22,68.27,92,0,3.62
271,Dongsheng,CN,1563417378,29.72,112.52,82.85,88,98,10.42
272,Mawlaik,MM,1563417378,23.63,94.42,81.41,81,35,2.73
273,Cabo San Lucas,MX,1563417235,22.89,-109.91,82.11,58,5,14.99
274,Torzhok,RU,1563417378,57.04,34.97,55.49,99,100,3.58
275,Brumado,BR,1563417379,-14.2,-41.67,67.01,76,4,8.12
